seconds,temp_comp_c
0.010,3.798
0.031,3.798
0.051,3.580
0.071,3.798
0.092,3.908
0.112,3.798
0.133,3.798
0.153,4.126
0.174,3.798
0.194,3.908
0.216,3.908
0.235,3.798
0.255,3.580
0.276,3.798
0.295,3.908
0.316,3.798
0.326,3.798
0.356,3.798
0.367,3.798
0.387,3.798
0.416,3.798
0.429,3.908
0.449,3.908
0.470,3.798
0.490,3.798
0.516,3.798
0.534,3.908
0.552,3.908
0.574,3.798
0.593,3.908
0.616,3.908
0.635,3.908
0.655,3.798
0.675,4.017
0.697,3.908
0.716,3.908
0.736,3.908
0.756,3.908
0.777,3.908
0.797,3.908
0.817,3.908
0.837,3.908
0.858,3.908
0.868,3.908
0.889,3.908
0.917,3.908
0.930,3.908
0.950,3.798
0.971,3.908
0.991,3.908
1.017,3.908
1.034,3.908
1.053,3.908
1.073,3.908
1.094,3.908
1.117,3.908
1.134,3.908
1.155,3.908
1.175,3.908
1.195,3.908
1.217,3.908
1.236,3.908
1.256,3.908
1.277,4.017
1.297,3.798
1.318,3.908
1.338,3.908
1.358,3.908
1.379,3.908
1.389,3.908
1.418,3.908
1.432,3.908
1.451,3.908
1.471,3.908
1.492,3.908
1.518,3.908
1.532,3.908
1.552,3.908
1.573,3.908
1.593,3.908
1.618,3.908
1.640,4.671
1.659,3.908
1.680,3.798
1.693,3.908
1.718,3.908
1.736,3.908
1.759,3.908
1.779,3.908
1.793,3.689
1.820,4.017
1.837,3.908
1.853,3.908
1.873,3.908
1.896,3.908
1.918,3.908
1.936,3.908
1.960,3.908
1.976,3.908
1.997,3.908
2.019,3.908
2.037,3.908
2.058,3.908
2.080,3.908
2.099,3.908
2.119,3.908
2.140,3.908
2.160,3.908
2.180,3.908
2.201,3.908
2.219,3.908
2.232,3.908
2.252,3.908
2.273,3.908
2.294,3.908
2.319,3.798
2.335,3.908
2.356,3.908
2.376,3.908
2.396,3.908
2.419,3.908
2.437,3.908
2.457,3.908
2.477,3.908
2.502,3.908
2.519,3.908
2.539,3.908
2.559,3.908
2.580,3.908
2.602,3.908
2.619,3.908
2.639,3.908
2.660,3.908
2.680,3.908
2.700,3.908
2.721,3.908
2.742,3.908
2.762,3.908
2.783,3.908
2.803,3.908
2.819,3.908
2.834,3.908
2.854,3.908
2.874,3.908
2.895,3.908
2.920,3.908
2.936,4.017
2.963,3.908
2.977,3.689
2.997,3.908
3.020,4.017
3.040,3.908
3.063,3.908
3.079,3.908
3.100,4.017
3.120,3.908
3.141,3.908
3.161,3.908
3.181,3.908
3.202,3.908
3.222,3.908
3.243,4.017
3.263,4.017
3.283,3.908
3.303,3.908
3.324,3.908
3.344,4.017
3.365,3.908
3.375,3.908
3.395,3.908
3.420,4.126
3.436,3.908
3.457,3.908
3.477,3.908
3.497,3.908
3.520,3.908
3.538,3.908
3.559,3.908
3.580,3.908
3.600,3.908
3.621,3.908
3.641,3.908
3.662,3.908
3.682,3.908
3.702,3.908
3.723,3.908
3.743,4.017
3.764,3.908
3.784,3.908
3.805,4.017
3.825,3.908
3.845,3.908
3.866,3.908
3.886,3.908
3.896,4.017
3.922,3.908
3.946,4.017
3.966,4.017
3.986,4.017
4.006,4.017
4.026,4.126
4.046,4.017
4.066,4.017
4.086,3.908
4.106,4.017
4.125,4.017
4.147,4.017
4.166,4.017
4.187,4.017
4.197,4.126
4.222,4.017
4.238,4.126
4.258,4.126
4.279,4.126
4.299,4.126
4.322,4.126
4.339,4.126
4.360,4.126
4.380,4.126
4.400,4.235
4.422,4.126
4.441,4.235
4.462,4.235
4.482,4.344
4.506,4.235
4.523,4.344
4.543,4.344
4.564,4.344
4.585,4.344
4.605,4.344
4.627,4.453
4.646,4.344
4.666,4.453
4.686,4.453
4.707,4.562
4.727,4.562
4.748,4.562
4.768,4.671
4.788,4.779
4.809,4.779
4.823,4.671
4.846,4.779
4.869,5.105
4.884,4.779
4.909,4.779
4.926,4.997
4.950,4.888
4.964,4.997
4.981,4.997
5.001,4.997
5.023,5.105
5.042,5.105
5.069,5.105
5.088,5.105
5.108,5.214
5.128,5.322
5.144,5.322
5.168,5.322
5.184,5.322
5.205,5.431
5.225,5.431
5.250,5.431
5.269,5.214
5.287,5.539
5.307,5.864
5.327,5.756
5.350,5.756
5.368,5.756
5.389,5.864
5.410,5.756
5.430,5.972
5.450,5.972
5.462,5.972
5.481,6.081
5.510,6.189
5.528,6.081
5.542,6.189
5.569,6.297
5.588,6.405
5.603,6.405
5.624,6.513
5.651,6.513
5.665,6.405
5.685,6.621
5.706,6.837
5.731,6.729
5.747,6.729
5.770,6.729
5.788,6.945
5.809,6.945
5.829,7.052
5.851,7.160
5.871,7.160
5.891,7.160
5.911,7.268
5.932,7.268
5.951,7.376
5.970,7.376
5.992,7.591
6.010,7.699
6.025,7.699
6.044,8.021
6.071,6.837
6.092,7.806
6.110,8.021
6.125,7.914
6.147,8.129
6.171,8.129
6.189,8.236
6.205,8.344
6.225,8.451
6.251,8.451
6.273,8.451
6.292,8.559
6.313,8.666
6.332,8.666
6.347,8.666
6.373,8.773
6.393,8.881
6.413,9.096
6.432,9.096
6.452,9.096
6.465,9.096
6.492,9.310
6.509,9.310
6.527,9.417
6.554,9.417
6.569,9.525
6.593,9.632
6.610,9.739
6.630,9.632
6.653,9.846
6.671,9.846
6.692,9.846
6.711,9.954
6.732,10.061
6.752,10.061
6.774,10.168
6.794,10.275
6.813,10.275
6.834,10.383
6.854,10.383
6.872,10.597
6.895,10.597
6.905,10.704
6.928,10.811
6.947,10.811
6.975,10.918
6.990,11.133
7.014,11.026
7.034,11.133
7.049,11.133
7.069,11.347
7.089,11.347
7.114,11.454
7.130,11.454
7.153,11.561
7.171,11.669
7.194,11.776
7.212,11.776
7.234,11.776
7.255,11.990
7.273,11.990
7.294,12.098
7.314,12.098
7.335,12.205
7.355,12.205
7.376,12.312
7.396,12.419
7.416,12.098
7.427,12.634
7.453,12.634
7.476,12.741
7.496,12.312
7.516,12.848
7.529,12.956
7.550,13.063
7.570,13.063
7.593,13.278
7.611,13.278
7.632,13.385
7.653,13.385
7.673,13.492
7.696,13.600
7.717,13.600
7.736,13.707
7.756,13.707
7.776,13.922
7.796,13.922
7.816,13.922
7.836,14.137
7.857,14.352
7.868,14.245
7.894,14.245
7.916,14.352
7.929,14.568
7.953,14.568
7.970,14.675
7.994,14.783
8.017,14.675
8.037,14.891
8.052,14.891
8.072,14.998
8.097,14.783
8.118,15.214
8.134,15.322
8.154,15.322
8.174,15.430
8.195,15.538
8.217,15.538
8.236,15.646
8.256,15.754
8.278,15.754
8.298,15.862
8.318,15.970
8.338,16.078
8.359,16.078
8.379,16.186
8.399,16.294
8.420,16.294
8.430,16.511
8.456,16.511
8.471,16.511
8.493,16.727
8.512,16.727
8.532,16.836
8.558,16.836
8.579,16.944
8.599,16.727
8.616,17.053
8.639,17.161
8.659,17.270
8.679,17.270
8.697,17.378
8.718,17.378
8.739,17.487
8.759,17.596
8.772,16.402
8.800,17.705
8.819,17.813
8.838,17.922
8.853,17.922
8.878,18.031
8.900,18.140
8.920,18.140
8.940,17.922
8.960,18.249
8.975,18.468
8.996,18.468
9.016,18.577
9.037,18.577
9.060,18.686
9.080,18.796
9.100,18.796
9.119,18.905
9.140,19.015
9.161,19.015
9.173,19.234
9.197,19.234
9.212,19.344
9.234,19.344
9.254,19.453
9.279,19.344
9.294,19.234
9.314,19.673
9.334,19.783
9.361,19.893
9.376,19.783
9.401,20.003
9.421,20.113
9.442,20.113
9.459,20.224
9.479,20.334
9.501,20.224
9.521,20.444
9.539,20.444
9.560,20.555
9.578,20.665
9.599,20.665
9.622,20.776
9.638,20.887
9.662,20.887
9.679,21.108
9.700,20.997
9.721,21.108
9.741,21.219
9.761,21.219
9.781,21.330
9.802,21.330
9.823,21.553
9.843,21.553
9.853,21.664
9.881,21.775
9.902,21.887
9.922,21.887
9.934,21.775
9.963,22.110
9.975,22.110
10.002,22.110
10.016,22.222
10.037,22.334
10.057,22.334
10.078,22.445
10.103,22.557
10.122,22.557
10.142,22.670
10.160,22.782
10.183,22.782
10.200,22.894
10.221,22.894
10.242,23.006
