seconds,temp_comp_c
0.000,58.537
0.023,58.537
0.041,58.537
0.062,58.537
0.082,58.537
0.103,58.732
0.122,58.537
0.143,58.537
0.164,58.537
0.174,58.537
0.196,58.537
0.220,58.537
0.239,58.344
0.258,58.537
0.276,58.732
0.304,58.537
0.318,58.537
0.344,58.537
0.364,58.537
0.385,58.537
0.404,58.537
0.424,58.537
0.445,58.537
0.464,58.537
0.484,58.537
0.505,58.732
0.525,58.732
0.538,57.959
0.564,58.537
0.581,58.537
0.604,58.537
0.625,58.537
0.639,58.537
0.662,58.537
0.682,58.537
0.701,58.732
0.721,58.537
0.741,58.537
0.762,58.732
0.783,58.537
0.803,58.537
0.824,58.537
0.844,58.537
0.864,58.537
0.885,58.732
0.905,58.537
0.925,58.537
0.936,58.537
0.957,58.537
0.977,58.537
0.997,58.537
1.019,58.537
1.038,58.537
1.058,58.344
1.078,58.537
1.099,58.537
1.119,58.537
1.139,58.537
1.160,58.537
1.181,58.537
1.206,58.537
1.223,58.537
1.243,58.732
1.264,58.537
1.286,58.537
1.305,58.537
1.325,58.537
1.346,58.732
1.366,58.537
1.386,58.537
1.406,58.537
1.426,58.537
1.446,58.537
1.467,58.537
1.487,58.537
1.507,58.537
1.520,58.537
1.546,59.123
1.567,58.927
1.579,58.537
1.607,60.114
1.628,58.537
1.640,58.537
1.663,58.537
1.687,58.537
1.702,58.537
1.728,58.537
1.745,58.537
1.766,58.537
1.787,58.732
1.806,58.537
1.825,58.537
1.846,58.537
1.866,58.537
1.887,58.537
1.907,58.537
1.928,58.732
1.948,58.151
1.968,58.537
1.988,58.344
2.009,58.537
2.029,58.537
2.039,58.537
2.065,58.537
2.089,58.344
2.108,58.537
2.129,58.537
2.141,58.537
2.166,58.537
2.187,58.537
2.207,58.537
2.223,58.537
2.246,58.537
2.268,58.537
2.284,58.732
2.309,58.537
2.325,58.537
2.346,58.537
2.368,58.537
2.387,58.537
2.407,58.537
2.428,58.537
2.448,58.537
2.469,58.537
2.490,58.151
2.509,58.344
2.529,58.344
2.550,58.344
2.567,58.344
2.583,58.344
2.610,58.344
2.629,58.344
2.650,58.344
2.670,58.344
2.691,58.344
2.710,58.344
2.731,58.151
2.750,58.344
2.771,58.344
2.791,58.151
2.811,58.151
2.831,58.151
2.851,58.151
2.871,58.151
2.891,58.151
2.910,57.959
2.931,57.959
2.951,57.959
2.962,57.959
2.990,57.767
3.003,57.959
