timestamp,code10,vout_v,resistance_ohm,temp_raw_c,temp_comp_c,error_c
2025-10-31T17:47:00.8054657-07:00,712,2.296774,22893.89,5.003,5.003,0.000
2025-10-31T17:47:00.8054657-07:00,710,2.290323,22683.71,5.211,5.211,0.000
2025-10-31T17:47:00.8054657-07:00,708,2.283871,22476.19,5.418,5.418,0.000
2025-10-31T17:47:00.8054657-07:00,706,2.277419,22271.29,5.625,5.625,0.000
2025-10-31T17:47:00.8054657-07:00,708,2.283871,22476.19,5.418,5.418,0.000
2025-10-31T17:47:00.8054657-07:00,703,2.267742,21968.75,5.935,5.935,0.000
2025-10-31T17:47:00.8054657-07:00,714,2.303226,23106.80,4.794,4.794,0.000
2025-10-31T17:47:00.8054657-07:00,702,2.264516,21869.16,6.038,6.038,0.000
2025-10-31T17:47:00.8054657-07:00,713,2.300000,23000.00,4.899,4.899,0.000
2025-10-31T17:47:00.8054657-07:00,707,2.280645,22373.42,5.522,5.522,0.000
2025-10-31T17:47:00.8054657-07:00,706,2.277419,22271.29,5.625,5.625,0.000
2025-10-31T17:47:00.8054657-07:00,711,2.293548,22788.46,5.107,5.107,0.000
2025-10-31T17:47:00.8054657-07:00,707,2.280645,22373.42,5.522,5.522,0.000
2025-10-31T17:47:00.8054657-07:00,706,2.277419,22271.29,5.625,5.625,0.000
2025-10-31T17:47:00.8054657-07:00,713,2.300000,23000.00,4.899,4.899,0.000
2025-10-31T17:47:00.8054657-07:00,709,2.287097,22579.62,5.314,5.314,0.000
2025-10-31T17:47:00.8054657-07:00,709,2.287097,22579.62,5.314,5.314,0.000
2025-10-31T17:47:00.8096739-07:00,710,2.290323,22683.71,5.211,5.211,0.000
2025-10-31T17:47:00.8096739-07:00,712,2.296774,22893.89,5.003,5.003,0.000
2025-10-31T17:47:00.8096739-07:00,709,2.287097,22579.62,5.314,5.314,0.000
2025-10-31T17:47:00.8096739-07:00,705,2.274194,22169.81,5.728,5.728,0.000
2025-10-31T17:47:00.8096739-07:00,704,2.270968,22068.97,5.832,5.832,0.000
2025-10-31T17:47:00.8096739-07:00,711,2.293548,22788.46,5.107,5.107,0.000
2025-10-31T17:47:00.8096739-07:00,710,2.290323,22683.71,5.211,5.211,0.000
2025-10-31T17:47:00.8096739-07:00,714,2.303226,23106.80,4.794,4.794,0.000
2025-10-31T17:47:00.8096739-07:00,712,2.296774,22893.89,5.003,5.003,0.000
2025-10-31T17:47:00.8096739-07:00,708,2.283871,22476.19,5.418,5.418,0.000
2025-10-31T17:47:00.8096739-07:00,705,2.274194,22169.81,5.728,5.728,0.000
2025-10-31T17:47:00.8096739-07:00,704,2.270968,22068.97,5.832,5.832,0.000
2025-10-31T17:47:00.8096739-07:00,712,2.296774,22893.89,5.003,5.003,0.000
2025-10-31T17:47:00.8096739-07:00,713,2.300000,23000.00,4.899,4.899,0.000
