seconds,temp_comp_c
0.000,56.822
0.025,56.822
0.041,56.822
0.058,56.822
0.083,56.822
0.100,56.822
0.125,56.635
0.141,56.078
0.165,56.822
0.182,56.635
0.205,55.894
0.224,56.635
0.244,56.822
0.265,56.635
0.284,56.822
0.305,56.822
0.325,56.635
0.345,56.635
0.365,56.822
0.386,56.822
0.406,56.635
0.425,56.822
0.445,56.635
0.465,56.822
0.486,56.263
0.500,57.198
0.525,56.822
0.541,56.635
0.558,56.635
0.583,56.822
0.599,56.635
0.627,56.635
0.641,57.010
0.667,56.822
0.683,56.822
0.703,56.635
0.725,56.822
0.743,56.635
0.763,56.635
0.783,56.822
0.799,56.635
0.826,56.822
0.847,56.635
0.867,56.822
0.878,56.822
0.901,56.822
0.925,56.822
0.941,56.822
0.958,56.635
0.985,56.635
1.002,56.078
1.027,56.822
1.047,56.822
1.066,56.635
1.083,56.635
1.108,56.822
1.128,56.822
1.148,56.822
1.167,56.822
1.183,56.822
1.208,56.635
1.228,56.822
1.238,56.635
1.266,56.635
1.283,56.822
1.308,56.822
1.328,56.822
1.343,56.635
1.368,56.635
1.388,56.635
1.400,56.822
1.426,56.822
1.442,56.635
1.468,56.635
1.483,56.635
1.509,56.822
1.528,56.822
1.548,56.635
1.569,56.635
1.584,56.635
1.610,56.822
1.627,56.822
1.647,56.635
1.667,56.635
1.688,56.822
1.708,56.822
1.727,56.635
1.751,56.822
1.767,56.263
1.784,56.822
1.808,56.822
1.827,56.822
1.850,56.822
1.869,56.635
1.883,56.635
1.908,56.822
1.930,56.822
1.950,56.822
1.969,56.822
1.983,56.822
2.010,56.822
2.030,56.822
2.050,56.635
2.067,56.822
2.090,56.822
2.109,56.635
2.127,56.635
2.151,56.635
2.171,56.635
2.189,56.822
2.211,56.822
2.231,56.635
2.251,56.822
2.271,56.635
2.291,56.635
2.311,56.635
2.329,56.822
2.350,56.822
2.371,56.822
2.391,56.822
2.408,56.635
2.427,56.822
2.450,56.635
2.467,56.635
2.491,56.635
2.510,56.635
2.527,56.822
2.550,56.635
2.567,56.635
2.592,56.635
2.611,56.822
2.628,56.822
2.650,56.822
2.669,56.635
2.692,56.635
2.709,56.822
2.728,56.822
2.750,57.198
2.770,56.635
2.793,56.822
2.808,56.822
2.833,56.822
2.850,56.635
2.867,56.635
2.892,53.559
2.908,56.635
2.933,56.822
2.950,56.635
2.969,56.635
2.992,56.635
3.009,56.822
3.033,56.635
3.050,56.635
3.067,56.822
3.092,57.010
3.108,56.822
3.133,56.822
3.152,56.822
3.167,56.635
3.192,56.822
3.208,56.635
3.233,56.635
3.250,56.635
3.267,56.635
3.292,56.635
3.309,56.449
3.334,56.635
3.350,56.635
3.366,55.894
3.392,56.635
3.409,56.635
3.433,56.822
3.453,56.635
3.474,56.263
3.491,56.635
3.509,56.635
3.533,57.010
3.551,56.822
3.574,56.635
3.595,56.635
3.608,56.635
3.633,56.635
3.651,56.263
3.675,56.635
3.694,56.635
3.715,56.635
3.733,57.010
3.751,56.635
3.775,56.635
3.792,56.263
3.809,56.635
3.835,56.635
3.850,56.635
3.875,56.635
3.892,56.635
3.909,56.635
3.934,56.263
3.951,57.010
3.976,57.010
3.992,56.635
4.009,56.263
4.033,56.263
4.051,56.263
4.075,56.263
4.092,56.263
4.116,56.263
4.133,56.263
4.156,56.449
4.175,56.263
4.192,56.263
4.216,56.263
4.234,56.263
4.250,56.263
4.275,56.263
4.291,56.263
4.317,56.263
4.334,56.263
4.350,56.263
4.376,56.263
4.392,56.263
4.416,56.078
4.433,56.078
4.450,56.263
4.476,56.078
4.491,56.078
4.517,56.078
4.534,56.078
4.557,56.078
4.577,56.078
4.593,56.078
4.617,56.078
4.637,56.078
4.656,56.078
4.677,56.078
4.696,55.894
4.717,55.894
4.733,56.078
4.758,55.894
4.776,55.894
4.791,55.894
4.817,55.894
4.833,55.894
4.850,55.711
4.875,55.711
4.892,55.346
4.917,55.711
4.933,55.711
4.958,55.711
4.977,55.711
4.992,55.711
5.017,55.711
5.033,55.528
5.058,55.528
5.076,55.711
5.092,55.164
5.119,59.123
5.133,55.164
5.158,55.528
5.175,55.346
5.192,55.346
5.217,55.346
5.234,55.346
5.259,55.164
5.275,55.164
5.299,55.164
5.317,54.983
5.334,55.164
5.359,55.164
5.375,54.803
5.399,55.164
5.417,54.983
5.438,54.803
5.458,54.803
5.475,54.803
5.499,54.623
5.520,54.623
5.533,54.623
5.558,54.623
5.575,54.623
5.599,54.445
5.617,54.445
5.640,54.445
5.658,54.266
5.676,54.266
5.700,54.266
5.717,54.089
5.734,54.089
5.758,54.089
5.775,53.912
5.800,53.912
5.819,53.912
5.833,53.735
5.859,53.735
5.875,53.209
5.899,53.559
5.921,53.559
5.936,53.559
5.960,53.384
5.975,53.384
6.000,53.384
6.017,53.384
6.041,53.209
6.059,53.035
6.075,53.035
6.100,53.035
6.118,52.862
6.141,52.862
6.158,52.862
6.175,52.689
6.201,52.517
6.217,52.517
6.242,52.517
6.259,52.345
6.281,52.345
6.300,52.174
6.318,52.174
6.342,52.174
6.359,52.003
6.379,52.003
6.401,52.003
6.416,52.174
6.441,51.664
6.462,51.664
6.475,51.664
6.500,51.495
6.516,51.495
6.541,51.326
6.561,51.326
6.583,51.159
6.600,51.159
6.617,50.991
6.642,50.825
6.658,50.825
6.675,50.825
6.701,50.658
6.721,50.658
6.742,51.495
6.759,50.658
6.783,50.327
6.800,50.327
6.817,50.163
6.843,50.163
6.863,49.998
6.883,49.835
6.903,49.835
6.922,49.672
6.944,49.672
6.963,49.509
6.983,49.509
7.003,49.509
7.024,49.509
7.043,49.185
7.058,49.024
7.083,49.024
7.104,48.863
7.124,48.863
7.141,48.703
7.158,48.543
7.182,48.543
7.200,48.383
7.224,48.383
7.242,48.225
7.258,48.225
7.284,48.066
7.304,48.066
7.324,48.066
7.341,47.908
7.358,47.594
7.383,47.594
7.400,47.594
7.425,47.437
7.441,47.281
7.459,47.281
7.483,47.125
7.500,46.815
7.525,46.970
7.542,46.815
7.559,46.660
7.584,46.660
7.604,46.506
7.625,46.506
7.644,46.353
7.658,46.353
7.684,46.200
7.700,46.047
7.725,45.894
7.742,45.742
7.765,45.742
7.784,45.591
7.805,45.591
7.826,45.591
7.843,45.440
7.859,45.289
7.885,44.989
7.902,44.097
7.925,44.989
7.941,45.139
7.966,44.839
7.985,44.839
8.000,44.690
8.026,44.097
8.042,44.393
8.066,44.541
8.083,44.097
8.105,44.097
8.125,43.950
8.141,43.803
8.166,43.803
8.184,43.656
8.200,43.656
8.225,43.510
8.242,43.364
8.266,43.219
8.286,43.219
8.300,43.073
8.326,42.929
8.346,42.929
8.367,42.784
8.383,42.640
8.401,42.640
8.425,42.496
8.442,42.496
8.467,42.353
8.484,42.210
8.508,42.067
8.526,42.067
8.542,41.925
8.566,41.783
8.584,41.783
8.608,41.641
8.625,41.500
8.647,41.359
8.667,41.359
8.684,41.218
8.708,41.218
8.725,41.077
8.742,40.937
8.767,40.797
8.784,40.797
8.808,40.658
8.825,40.519
8.846,40.380
8.868,40.380
8.886,40.241
8.908,40.241
8.925,39.965
8.946,39.965
8.967,39.965
8.983,39.827
9.008,39.827
9.025,39.553
9.042,39.553
9.067,39.416
9.088,39.416
9.108,39.279
9.125,39.143
9.142,39.007
9.167,39.007
9.188,38.872
9.208,38.736
9.225,38.736
9.249,38.601
9.269,38.466
9.289,38.466
9.308,38.332
9.325,38.197
9.349,38.197
9.369,38.063
9.389,37.930
9.409,37.930
9.425,37.796
9.449,37.796
9.467,37.796
9.489,37.663
9.509,37.397
9.525,37.397
9.549,37.133
9.568,37.133
9.588,37.133
9.608,37.001
9.629,37.265
9.650,37.001
9.669,36.476
9.684,36.607
9.708,36.476
9.725,36.476
9.750,36.215
9.766,36.084
9.789,36.084
9.808,35.954
9.826,35.825
9.850,35.825
9.867,35.695
9.883,35.566
9.908,35.566
9.925,35.437
9.950,35.308
9.967,35.308
9.984,35.180
10.011,35.051
10.025,35.051
10.050,34.923
10.067,34.923
10.091,34.795
10.110,34.668
10.130,34.668
10.150,34.540
10.167,34.413
10.191,34.413
10.208,34.286
10.225,34.159
10.250,34.033
10.267,34.033
10.292,33.906
10.308,33.906
10.325,33.780
10.352,33.654
10.367,33.654
10.392,33.529
10.411,33.403
10.425,33.654
10.450,33.278
10.467,33.278
10.492,33.153
10.510,33.028
10.526,33.028
10.550,32.903
10.567,32.903
10.592,32.779
10.610,32.654
10.626,32.654
10.650,32.530
10.666,32.406
10.692,32.406
10.709,32.283
10.726,32.159
10.750,32.159
10.767,32.159
10.792,31.790
10.808,31.912
10.833,31.790
10.850,31.790
10.867,31.667
10.891,31.544
10.909,31.177
10.933,31.422
10.951,31.422
