seconds,temp_comp_c
0.001,4.344
0.021,4.344
0.042,4.344
0.059,4.344
0.081,4.562
0.101,4.453
0.122,4.453
0.142,4.344
0.159,4.453
0.179,4.453
0.196,4.344
0.216,4.453
0.239,4.344
0.257,4.453
0.281,4.344
0.298,4.344
0.318,4.779
0.342,4.235
0.360,4.344
0.382,4.453
0.401,4.453
0.422,4.453
0.442,4.344
0.463,4.344
0.480,4.453
0.503,4.344
0.521,4.453
0.542,4.344
0.563,4.344
0.579,4.453
0.600,4.453
0.622,4.562
0.643,4.344
0.663,4.453
0.683,4.453
0.703,4.453
0.723,4.344
0.743,4.344
0.761,4.344
0.782,4.453
0.802,4.344
0.823,4.453
0.843,4.453
0.854,4.779
0.874,4.453
0.894,4.453
0.923,4.453
0.942,4.344
0.963,4.344
0.976,4.344
1.000,4.344
1.022,4.453
1.041,4.344
1.058,4.344
1.084,4.453
1.101,4.344
1.119,4.344
1.139,4.344
1.160,4.453
1.180,4.344
1.200,4.344
1.224,4.344
1.242,4.453
1.264,4.344
1.282,4.562
1.302,4.453
1.323,4.453
1.343,4.344
1.364,4.344
1.384,4.453
1.404,4.453
1.425,4.453
1.439,4.453
1.455,4.453
1.482,4.344
1.500,4.453
1.517,4.453
1.539,4.453
1.557,4.453
1.577,4.453
1.598,4.453
1.625,4.344
1.638,4.344
1.659,4.344
1.679,4.344
1.700,4.344
1.720,4.453
1.741,4.453
1.764,4.453
1.784,4.453
1.801,4.453
1.822,4.453
1.847,4.344
1.862,4.344
1.884,4.453
1.909,4.344
1.923,4.344
1.945,4.453
1.963,4.453
1.984,4.453
2.004,4.017
2.024,4.453
2.045,4.344
2.065,4.453
2.086,4.344
2.096,4.453
2.117,4.344
2.144,4.344
2.166,4.344
2.178,4.344
2.198,4.344
2.226,4.344
2.239,4.453
2.259,4.344
2.283,4.453
2.300,6.405
2.321,4.344
2.343,4.453
2.362,4.344
2.382,4.344
2.403,4.344
2.424,4.453
2.443,4.344
2.466,4.453
2.485,4.017
2.506,4.453
2.526,4.453
2.547,4.344
2.567,4.344
2.588,4.453
2.600,4.344
2.621,4.344
2.639,4.562
2.659,4.453
2.685,4.344
2.707,4.344
2.727,4.344
2.745,4.344
2.760,4.562
2.788,4.126
2.800,4.453
2.828,4.453
2.848,4.344
2.869,4.344
2.889,4.453
2.908,4.344
2.927,4.344
2.948,4.344
2.968,4.453
2.989,4.344
