seconds,temp_comp_c
0.020,38.872
0.041,39.007
0.061,38.872
0.081,38.872
0.101,39.007
0.121,38.872
0.142,39.007
0.161,38.872
0.181,38.872
0.200,39.007
0.222,38.466
0.241,38.736
0.261,38.872
0.282,38.872
0.301,38.872
0.321,38.872
0.341,38.872
0.362,38.872
0.382,38.872
0.402,38.872
0.413,38.872
0.433,38.872
0.462,38.736
0.476,38.872
0.497,38.872
0.516,38.872
0.536,38.872
0.560,38.872
0.577,38.872
0.598,38.872
0.619,38.872
0.639,38.872
0.659,38.872
0.680,39.007
0.700,38.872
0.720,38.872
0.741,38.872
0.762,38.872
0.782,38.872
0.802,38.872
0.823,38.872
0.843,38.872
0.863,38.872
0.873,38.872
0.894,38.872
0.914,38.872
0.935,38.872
0.955,38.872
0.978,39.007
1.002,38.872
1.023,38.872
1.038,38.872
1.058,38.872
1.078,38.872
1.099,38.872
1.120,38.872
1.140,38.872
1.164,38.872
1.182,38.872
1.203,39.143
1.222,39.143
1.244,38.466
1.263,38.872
1.283,38.872
1.303,38.872
1.324,39.007
1.342,38.872
1.355,38.872
1.384,38.872
1.404,38.872
1.416,38.872
1.437,38.872
1.458,38.872
1.478,38.872
1.504,38.872
1.525,38.872
1.540,38.872
1.560,38.872
1.580,38.872
1.604,39.279
1.621,38.872
1.641,38.872
1.662,38.872
1.682,39.007
1.702,38.872
1.723,38.872
1.743,38.872
1.763,38.872
1.784,38.872
1.805,39.007
1.825,38.872
1.845,39.143
1.866,38.872
1.883,38.872
1.899,38.872
1.917,38.872
1.945,38.872
1.963,38.872
1.978,38.872
2.005,38.872
2.023,38.872
2.039,38.872
2.065,39.007
2.085,38.872
2.106,38.872
2.125,39.416
2.141,38.872
2.166,38.872
2.182,38.872
2.206,38.872
2.225,38.872
2.244,38.872
2.265,38.872
2.285,38.872
2.306,39.143
2.326,39.007
2.346,38.872
2.367,38.872
2.386,38.872
2.407,38.872
2.427,38.872
2.447,38.872
2.467,38.872
2.487,39.007
2.507,38.872
