seconds,temp_comp_c
0.000,29.794
0.021,29.689
0.042,29.689
0.058,29.584
0.083,29.269
0.100,29.689
0.122,29.689
0.142,29.689
0.163,29.689
0.182,29.689
0.200,29.794
0.222,29.689
0.234,29.689
0.262,29.689
0.283,29.689
0.299,29.689
0.322,29.689
0.342,29.689
0.361,29.689
0.383,29.689
0.403,29.584
0.423,29.689
0.444,29.689
0.463,29.689
0.482,29.689
0.503,29.689
0.522,29.689
0.542,29.689
0.562,29.689
0.583,30.111
0.602,29.689
0.624,29.689
0.642,29.689
0.664,29.584
0.683,29.689
0.700,29.689
0.724,30.005
0.743,29.689
0.758,29.689
0.783,29.689
0.800,29.689
0.824,29.794
0.844,29.689
0.859,29.584
0.883,29.689
0.901,29.689
0.924,29.689
0.944,29.689
0.964,29.689
0.983,29.689
1.005,29.689
1.025,29.689
1.045,29.689
1.065,29.689
1.083,29.689
1.105,29.689
1.124,29.584
1.144,29.689
1.159,29.689
1.185,29.689
1.201,29.689
1.224,29.689
1.242,29.689
1.264,29.794
1.285,29.689
1.305,29.794
1.325,29.689
1.344,29.794
1.360,29.689
1.385,29.689
1.401,29.689
1.426,29.584
1.446,29.689
1.466,29.689
1.486,29.689
1.500,29.689
1.525,29.689
1.544,29.689
1.566,29.689
1.583,29.689
1.600,29.689
1.624,29.689
1.645,29.689
1.661,29.689
1.685,29.689
1.706,29.689
1.725,29.689
1.745,29.689
1.766,29.689
1.786,29.689
1.799,29.689
1.823,29.689
1.845,29.689
1.866,29.689
1.885,29.689
1.906,29.689
1.923,29.374
1.946,29.689
1.963,29.689
1.987,29.689
2.003,29.689
2.026,29.584
2.040,29.689
2.066,29.689
2.086,29.689
2.107,29.689
2.127,29.689
2.143,29.689
2.167,29.689
2.183,29.689
2.207,29.689
2.225,29.689
2.246,29.584
2.266,29.584
2.282,29.689
2.302,29.689
2.327,29.689
2.347,29.689
2.367,29.689
2.384,29.689
2.407,29.689
2.428,29.689
2.446,29.689
2.467,29.689
2.487,29.689
2.508,29.689
2.525,29.584
2.542,29.689
2.567,29.689
2.584,29.584
2.608,29.689
2.625,29.689
2.648,29.689
2.667,29.689
2.689,29.689
2.708,29.689
2.729,29.689
2.749,29.689
2.769,29.584
2.788,29.584
2.808,29.689
2.829,29.794
2.849,29.689
2.867,29.689
2.889,29.584
2.908,29.689
2.929,29.689
2.949,29.689
2.967,29.689
2.989,29.689
3.009,29.689
3.029,29.689
3.049,29.584
3.067,29.689
3.088,29.689
3.108,29.584
3.128,29.689
3.150,29.479
3.166,29.269
3.189,29.584
3.208,29.689
3.230,29.584
3.250,29.794
3.266,29.584
3.290,29.584
3.310,29.584
3.328,29.584
3.350,29.689
3.370,29.584
3.388,29.584
3.409,29.584
3.428,29.584
3.445,29.584
3.466,29.584
3.486,29.584
3.508,29.479
3.525,29.479
3.550,29.479
3.569,29.479
