seconds,temp_comp_c
0.002,4.344
0.024,4.344
0.045,4.344
0.062,4.344
0.085,4.344
0.103,4.344
0.123,4.344
0.145,4.344
0.166,4.453
0.184,4.344
0.206,4.344
0.225,4.235
0.246,4.453
0.265,4.235
0.286,4.344
0.307,4.344
0.317,4.344
0.338,4.344
0.362,4.344
0.378,4.344
0.399,4.344
0.419,4.344
0.445,4.344
0.466,4.344
0.481,4.344
0.504,4.344
0.527,4.344
0.547,4.344
0.566,4.344
0.582,4.344
0.603,4.235
0.627,4.235
0.646,4.344
0.666,4.235
0.685,4.344
0.707,4.344
0.727,4.344
0.748,4.344
0.767,4.344
0.778,4.344
0.806,4.344
0.825,4.344
0.840,4.344
0.868,4.344
0.880,3.908
0.901,4.344
0.921,4.344
0.941,4.344
0.962,4.344
0.987,4.344
1.008,4.344
1.023,4.344
1.047,4.344
1.067,4.344
1.088,4.344
1.108,4.344
1.125,4.344
1.146,4.344
1.168,4.344
1.186,4.344
1.208,4.453
1.226,4.235
1.247,4.235
1.267,4.344
1.288,4.344
1.310,4.344
1.329,4.344
1.349,4.344
1.369,4.344
1.389,4.344
1.410,4.344
1.428,4.344
1.449,4.344
1.469,4.344
1.489,4.344
1.504,4.344
1.520,4.344
1.540,4.344
1.568,4.344
1.590,4.344
1.609,4.344
1.629,4.344
1.648,4.344
1.662,4.344
1.687,4.344
1.709,4.344
1.724,4.344
1.744,4.344
1.765,4.344
1.787,4.344
1.809,4.344
1.828,4.344
1.849,4.344
1.870,4.344
1.888,4.344
1.907,4.344
1.928,4.344
1.949,4.344
1.969,4.344
1.990,4.344
2.011,4.344
2.031,4.344
2.050,4.344
2.070,4.344
2.083,4.235
2.111,4.344
2.131,4.344
2.151,4.344
2.164,4.344
2.185,4.344
2.211,4.235
2.227,4.344
2.250,4.344
2.267,4.235
2.291,4.344
2.309,4.344
2.329,4.344
2.351,4.344
2.371,4.344
2.388,4.344
2.410,4.344
2.428,4.344
2.451,4.344
2.471,4.344
2.492,4.344
2.512,4.344
2.530,4.235
2.552,4.344
2.572,4.344
2.591,4.235
2.611,4.235
2.632,4.344
2.652,4.126
2.672,4.344
2.691,4.235
2.711,4.126
2.724,4.235
2.744,4.235
2.769,4.344
2.792,4.235
2.810,4.235
2.827,4.344
2.847,4.235
2.868,4.235
2.893,4.344
2.913,4.344
2.929,4.235
2.949,4.235
2.970,4.344
2.992,4.235
3.013,4.344
3.033,4.344
3.053,4.235
3.074,4.235
3.094,4.344
3.111,4.344
3.132,4.235
3.152,4.235
3.171,4.344
3.189,4.344
3.213,4.235
3.233,4.344
3.246,4.235
3.267,4.344
3.287,4.344
3.312,4.344
3.328,4.344
3.349,4.344
3.371,2.812
3.390,4.344
3.410,4.235
3.435,4.344
3.453,4.344
3.474,4.344
3.492,4.344
3.515,4.453
3.533,4.453
3.554,4.453
3.574,4.344
3.594,4.453
3.615,4.453
3.635,4.562
3.654,4.453
3.674,4.453
3.695,4.453
3.713,4.562
3.735,4.671
3.755,4.562
3.773,4.562
3.794,4.562
3.815,4.562
3.835,4.562
3.856,4.671
3.876,4.562
3.894,4.997
3.912,4.671
3.927,4.779
3.948,4.779
3.975,4.779
3.987,4.779
4.008,4.779
4.028,4.779
4.048,4.779
4.069,4.888
4.089,4.888
4.109,4.888
4.129,4.888
4.150,4.888
4.170,4.997
4.191,5.648
4.211,5.105
4.231,4.997
4.252,5.105
4.272,5.105
4.292,5.214
4.317,5.214
4.336,5.214
4.357,5.214
4.377,5.322
4.394,5.322
4.415,5.431
4.437,5.322
4.455,5.431
4.476,5.431
4.496,5.322
4.516,5.539
4.537,5.648
4.558,5.648
4.568,5.105
4.588,5.648
4.609,5.648
4.629,5.648
4.649,5.756
4.669,5.756
4.690,5.864
4.712,5.864
4.730,5.864
4.750,5.864
4.771,5.972
4.791,5.972
4.811,5.972
4.832,6.081
4.852,6.189
4.872,6.189
4.892,6.189
4.913,6.189
4.933,6.297
4.953,6.297
4.973,6.405
4.994,6.405
5.014,6.405
5.037,6.405
5.057,6.513
5.076,6.513
5.097,6.621
